objID,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
582093483803934771,752,20,4,52,51,6,151.379413,0.071364,20.852,19.474,18.23,17.806,17.728,0.107,0.015,9.309E-3,8.108E-3,0.029
582093483803934784,752,20,4,52,64,3,151.381421,0.072542,20.476,18.368,20.324,27.458,18.213,1.441,0.086,0.916,3.304,1.007
582093483803934769,752,20,4,52,49,3,151.381505,0.071311,21.315,19.311,17.844,17.403,17.533,0.161,0.013,6.794E-3,6.352E-3,0.025
582093483803934774,752,20,4,52,54,3,151.382659,0.071181,22.126,21.255,19.628,19.135,19.307,0.264,0.049,0.021,0.017,0.088
582093483803934782,752,20,4,52,62,6,151.381184,0.07429,24.284,21.885,20.666,20.241,20.093,1.226,0.082,0.046,0.041,0.171
582093483803934783,752,20,4,52,63,6,151.382612,0.073633,24.156,25.117,21.918,20.498,20.486,1.17,0.711,0.142,0.052,0.243
582093483803934768,752,20,4,52,48,6,151.376871,0.069743,20.728,18.66,17.704,17.316,17.195,0.09,8.266E-3,6.56E-3,5.62E-3,0.018
582093483803934770,752,20,4,52,50,6,151.378333,0.067265,21.424,19.048,18.154,17.711,17.54,0.166,0.011,7.807E-3,7.226E-3,0.024
582093483803934777,752,20,4,52,57,6,151.385791,0.07559,22.75,20.813,20.295,19.521,19.556,0.462,0.034,0.036,0.024,0.109
582093483803934780,752,20,4,52,60,6,151.374858,0.067681,21.542,20.639,20.311,20.802,20.025,0.185,0.033,0.04,0.083,0.201
582093483803934786,752,20,4,52,66,6,151.376827,0.072973,21.625,20.889,20.514,20.254,20.228,0.197,0.041,0.047,0.05,0.237
582093483803934787,752,20,4,52,67,3,151.373331,0.072552,21.15,19.869,19.664,19.552,19.696,0.198,0.026,0.035,0.045,0.248
582093483803934788,752,20,4,52,68,3,151.381346,0.07784,21.341,20.077,19.677,19.484,19.676,0.229,0.031,0.035,0.041,0.237
582093483803935228,752,20,4,52,508,6,151.378675,0.06538,23.098,22.63,22.583,22.532,22.396,0.677,0.17,0.275,0.36,1.148
582093483803934765,752,20,4,52,45,6,151.369891,0.066972,16.927,14.432,13.247,12.844,12.645,7.081E-3,1.328E-3,1.032E-3,9.301E-4,1.669E-3
582093483803934773,752,20,4,52,53,3,151.387814,0.076159,22.941,21.001,19.1,18.726,18.592,0.589,0.044,0.015,0.014,0.053
582093483803934775,752,20,4,52,55,3,151.386857,0.076652,20.448,18.834,18.287,17.916,17.844,0.114,0.013,0.013,0.013,0.051
582093483803934776,752,20,4,52,56,6,151.387121,0.07384,21.931,20.573,20.04,19.37,19.238,0.231,0.029,0.029,0.021,0.084
582093483803934778,752,20,4,52,58,6,151.389224,0.074503,21.314,20.025,20.098,19.836,20.036,0.159,0.022,0.036,0.039,0.222
582093483803934781,752,20,4,52,61,3,151.369986,0.069631,21.03,19.828,19.736,19.269,19.016,0.287,0.042,0.111,0.084,0.269
582093483803934893,752,20,4,52,173,3,151.388299,0.065787,21.442,19.484,18.737,18.376,18.224,0.219,0.017,0.014,0.015,0.056
582093483803934994,752,20,4,52,274,6,151.370109,0.076757,22.049,20.591,19.923,19.601,19.655,0.293,0.032,0.029,0.03,0.149
582093483803935211,752,20,4,52,491,3,151.375609,0.078456,24.015,22.191,22.842,23.391,25.083,1.866,0.187,0.56,1.186,0.509
582093483803935214,752,20,4,52,494,6,151.37459,0.081596,21.761,20.158,19.589,19.22,19.158,0.234,0.024,0.024,0.023,0.102
582093483803935215,752,20,4,52,495,6,151.375479,0.07938,22.431,21.239,20.653,20.428,20.325,0.386,0.053,0.051,0.058,0.254
582093483803935216,752,20,4,52,496,6,151.378659,0.080101,22.401,21.368,20.772,21.118,20.43,0.389,0.06,0.061,0.111,0.292
582093483803935217,752,20,4,52,497,6,151.377082,0.079964,23.852,25.667,22.977,21.345,21.113,1.054,0.653,0.362,0.114,0.44
582093483803935227,752,20,4,52,507,6,151.378777,0.064037,24.17,22.031,21.69,21.161,21.491,1.224,0.091,0.118,0.097,0.604
582093483803935245,752,20,4,52,525,3,151.384873,0.062721,22.601,22.452,21.844,22.537,23.498,0.582,0.205,0.201,0.531,1.511
