,Name,X,Y,Z,U,V,W,X_error_lower,X_error_upper,Y_error_lower,Y_error_upper,Z_error_lower,Z_error_upper,U_error_lower,U_error_upper,V_error_lower,V_error_upper,W_error_lower,W_error_upper
0,NGC0104,1.87,-2.58,-3.18,-88.6,-80.1,38.5,-0.04,0.04,-0.06,0.06,-0.07,0.07,-2.0,2.0,-2.2,2.1,-0.8,0.8
1,NGC0288,-0.084,0.046,-8.89,-19.3,-297.3,44.0,-0.002,0.002,-0.001,0.001,-0.2,0.21,-1.5,1.6,-6.9,7.0,-0.2,0.2
2,NGC0362,3.11,-5.07,-6.21,-100.0,-344.8,-78.1,-0.07,0.07,-0.11,0.12,-0.14,0.15,-4.4,4.4,-5.0,5.1,-2.2,2.2
3,NGC1851,-4.26,-8.94,-6.95,-94.5,-319.5,-88.9,-0.1,0.1,-0.2,0.2,-0.16,0.16,-2.0,1.9,-2.3,2.4,-2.8,2.7
4,NGC1904,-7.63,-8.25,-6.32,-57.6,-266.4,-2.6,-0.17,0.17,-0.19,0.19,-0.14,0.14,-2.3,2.3,-3.6,3.5,-3.0,3.0
5,NGC2298,-4.29,-9.46,-2.98,80.5,-227.8,67.5,-0.1,0.1,-0.22,0.22,-0.07,0.07,-3.7,3.7,-2.7,2.6,-3.1,3.1
6,NGC2808,1.99,-9.2,-1.87,43.5,-101.0,21.7,-0.05,0.05,-0.21,0.21,-0.04,0.04,-1.7,1.6,-0.8,0.8,-1.9,1.9
7,NGC3201,0.61,-4.8,0.74,244.8,-450.6,143.5,-0.01,0.01,-0.11,0.11,-0.02,0.02,-4.3,4.3,-0.8,0.8,-1.8,1.8
8,NGC4372,2.94,-4.9,-1.0,-114.6,-166.6,59.7,-0.07,0.07,-0.11,0.11,-0.02,0.02,-3.7,3.6,-2.7,2.7,-1.9,1.9
9,NGC4590,4.12,-7.24,6.06,-182.5,38.2,8.6,-0.09,0.1,-0.17,0.17,-0.14,0.14,-3.7,3.7,-1.4,1.4,-2.1,2.0
10,NGC4833,3.62,-5.44,-0.92,-109.2,-307.1,-48.7,-0.08,0.08,-0.12,0.12,-0.02,0.02,-5.1,5.2,-3.4,3.4,-1.2,1.2
11,NGC5024,2.83,-1.45,17.61,44.2,-95.2,-78.9,-0.07,0.07,-0.03,0.03,-0.41,0.41,-3.2,3.1,-3.7,3.9,-0.7,0.7
12,NGC5053,3.04,-1.37,17.08,42.2,-104.7,28.9,-0.07,0.07,-0.03,0.03,-0.39,0.4,-3.1,2.9,-3.6,3.8,-0.8,0.8
13,NGC5139,3.17,-3.9,1.34,87.7,-268.7,-88.3,-0.07,0.07,-0.09,0.09,-0.03,0.03,-1.4,1.4,-2.3,2.3,-3.5,3.5
14,NGC5272,1.48,1.34,10.0,54.2,-121.5,-142.2,-0.03,0.03,-0.03,0.03,-0.23,0.23,-2.5,2.4,-2.9,2.9,-0.4,0.4
15,NGC5286,7.64,-8.6,2.15,44.9,-38.1,0.5,-0.18,0.18,-0.2,0.2,-0.05,0.05,-1.8,1.8,-1.7,1.8,-1.9,2.0
16,NGC5466,3.35,3.03,15.34,-230.9,-284.7,222.1,-0.08,0.08,-0.07,0.07,-0.35,0.35,-6.4,6.4,-7.3,7.7,-2.8,2.8
17,NGC5634,15.66,-5.02,19.09,-87.6,-259.3,-55.9,-0.36,0.36,-0.12,0.12,-0.44,0.44,-5.5,5.6,-7.5,7.8,-5.8,5.8
18,NGC5897,10.32,-3.17,6.31,-44.1,-383.0,81.1,-0.24,0.24,-0.07,0.07,-0.15,0.14,-3.3,3.3,-8.4,8.6,-2.0,2.0
19,NGC5904,5.12,0.345,5.47,290.4,-163.1,-188.8,-0.12,0.12,-0.008,0.008,-0.13,0.13,-6.1,6.1,-4.1,4.1,-5.4,5.4
20,NGC5927,6.4,-4.22,0.65,-210.2,-123.2,-2.7,-0.15,0.15,-0.1,0.1,-0.01,0.02,-3.1,3.0,-4.4,4.4,-1.3,1.3
21,NGC5946,8.92,-5.67,0.77,-36.6,-284.8,94.6,-0.2,0.2,-0.13,0.13,-0.02,0.02,-3.8,3.7,-5.1,5.2,-2.7,2.6
22,NGC5986,9.32,-3.95,2.39,-29.7,-316.8,-21.1,-0.21,0.22,-0.09,0.09,-0.05,0.06,-4.2,4.2,-7.0,6.9,-2.1,2.1
23,NGC6093,9.35,-1.2,3.33,-6.3,-290.3,-68.6,-0.22,0.22,-0.03,0.03,-0.08,0.08,-1.6,1.6,-6.8,7.0,-2.3,2.4
24,NGC6121,2.09,-0.332,0.61,40.4,-243.6,-15.9,-0.05,0.05,-0.008,0.007,-0.01,0.01,-0.7,0.7,-5.5,5.2,-0.9,0.9
25,NGC6144,8.48,-1.2,2.41,171.0,-158.1,34.8,-0.2,0.19,-0.03,0.03,-0.06,0.05,-0.8,0.8,-3.3,3.4,-1.5,1.6
26,NGC6171,5.88,0.347,2.5,3.7,-179.2,-71.2,-0.14,0.13,-0.008,0.008,-0.06,0.06,-1.0,0.9,-4.2,4.2,-1.6,1.7
27,NGC6205,2.76,4.6,4.65,-43.4,-263.1,-86.9,-0.06,0.06,-0.1,0.11,-0.11,0.11,-1.6,1.6,-2.6,2.6,-1.9,1.9
28,NGC6218,4.14,1.17,2.13,33.5,-128.6,-88.2,-0.1,0.09,-0.03,0.03,-0.05,0.05,-1.7,1.6,-2.7,2.8,-1.8,1.7
29,NGC6235,11.17,-0.211,2.69,94.4,-460.0,-55.2,-0.26,0.26,-0.005,0.005,-0.06,0.06,-3.3,3.3,-10.8,11.0,-2.7,2.8
30,NGC6254,3.91,1.06,1.73,106.2,-144.8,40.1,-0.09,0.09,-0.02,0.02,-0.04,0.04,-1.2,1.2,-3.8,3.8,-0.8,0.8
31,NGC6266,6.7,-0.76,0.87,-99.2,-170.5,68.8,-0.15,0.16,-0.02,0.02,-0.02,0.02,-1.6,1.5,-4.3,4.3,-2.1,2.1
32,NGC6273,8.67,-0.47,1.43,107.5,-32.4,167.9,-0.2,0.2,-0.01,0.01,-0.03,0.03,-4.0,4.1,-1.6,1.6,-3.7,3.8
33,NGC6284,15.07,-0.44,2.64,2.6,-256.7,102.1,-0.35,0.35,-0.01,0.01,-0.06,0.06,-1.8,1.8,-6.4,6.4,-3.6,3.4
34,NGC6287,9.23,0.021,1.8,-307.1,-197.5,69.0,-0.21,0.21,-0.0,0.0,-0.04,0.04,-3.5,3.5,-4.8,4.9,-3.3,3.4
35,NGC6293,9.4,-0.391,1.29,-130.9,-130.5,-161.8,-0.21,0.22,-0.009,0.009,-0.03,0.03,-1.7,1.8,-3.5,3.6,-3.6,3.7
36,NGC6304,5.86,-0.43,0.55,-119.8,-81.1,61.4,-0.14,0.14,-0.01,0.01,-0.01,0.01,-3.6,3.6,-2.4,2.3,-2.0,2.0
37,NGC6316,10.34,-0.51,1.04,48.7,-325.6,71.0,-0.24,0.24,-0.01,0.01,-0.02,0.02,-9.0,8.8,-7.8,7.5,-2.5,2.5
38,NGC6325,7.72,0.131,1.09,27.8,-449.5,70.9,-0.18,0.17,-0.003,0.003,-0.02,0.02,-1.8,1.8,-10.3,10.3,-2.1,2.1
39,NGC6333,7.73,0.75,1.47,237.7,-123.4,44.8,-0.18,0.18,-0.02,0.02,-0.03,0.03,-7.0,6.8,-3.6,3.6,-1.9,1.8
40,NGC6341,2.51,6.33,4.74,-36.7,-208.6,87.9,-0.06,0.06,-0.14,0.14,-0.11,0.11,-1.3,1.4,-2.8,2.8,-3.7,3.7
41,NGC6342,8.35,0.72,1.44,148.9,-289.3,-36.4,-0.19,0.19,-0.02,0.02,-0.03,0.03,-1.6,1.7,-7.1,7.0,-1.9,2.0
42,NGC6352,5.27,-1.77,-0.7,-172.2,-79.3,1.1,-0.12,0.12,-0.04,0.04,-0.02,0.02,-1.5,1.4,-3.0,2.9,-1.0,1.0
43,NGC6356,14.76,1.74,2.68,50.6,-345.8,97.9,-0.34,0.34,-0.04,0.04,-0.06,0.06,-4.3,4.3,-8.1,8.6,-3.5,3.3
44,NGC6362,5.98,-4.1,-2.29,-211.5,-151.9,124.7,-0.13,0.14,-0.1,0.09,-0.05,0.05,-2.8,2.8,-5.1,5.1,-2.3,2.4
45,NGC6366,3.19,1.06,0.97,22.1,-73.6,-39.4,-0.07,0.07,-0.02,0.02,-0.02,0.02,-0.9,1.0,-1.7,1.7,-1.0,1.0
46,NGC6380,10.72,-1.85,-0.65,-37.1,-193.9,2.5,-0.26,0.25,-0.04,0.04,-0.02,0.02,-2.6,2.6,-4.9,5.0,-2.0,2.1
